STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TAVG_C,TMAX_C,TMIN_C,CITY
IRM00040747,"SANANDAJ, IR",2025-01-01,0.0,",,S",,,36,"H,,S",,,30.0,",,S",2.2222222222222223,,-1.1111111111111112,Sanandaj
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-01,0.0,",,S",,,39,"H,,S",45.0,",,S",,,3.888888888888889,7.222222222222222,,Sanandaj
IRM00040731,"GHAZVIN, IR",2025-01-01,0.0,",,S",,,33,"H,,S",47.0,",,S",,,0.5555555555555556,8.333333333333334,,Sanandaj
IRM00040785,"KASHAN, IR",2025-01-01,1.71,",,S",1.2,",,S",34,"H,,S",,,31.0,",,S",1.1111111111111112,,-0.5555555555555556,Sanandaj
IR000040706,"TABRIZ, IR",2025-01-01,0.0,",,S",,,32,"H,,S",43.0,",,S",22.0,",,S",0.0,6.111111111111111,-5.555555555555555,Sanandaj
IRM00040729,"ZANJAN, IR",2025-01-01,0.0,",,S",1.2,",,S",30,"H,,S",41.0,",,S",20.0,",,S",-1.1111111111111112,5.0,-6.666666666666667,Sanandaj
IRM00040811,"AHWAZ, IR",2025-01-01,0.0,",,S",,,55,"H,,S",67.0,",,S",,,12.777777777777779,19.444444444444443,,Sanandaj
IR000040745,"MASHHAD, IR",2025-01-01,0.0,",,S",,,38,"H,,S",,,,,3.3333333333333335,,,Sanandaj
IRM00040738,"GORGAN, IR",2025-01-01,0.0,",,S",,,44,"H,,S",51.0,",,S",,,6.666666666666667,10.555555555555555,,Sanandaj
IRM00040858,"BUSHEHR, IR",2025-01-01,0.0,",,S",,,62,"H,,S",67.0,",,S",,,16.666666666666668,19.444444444444443,,Sanandaj
IRM00040821,"YAZD SHAHID SADOOGHI, IR",2025-01-01,0.26,",,S",,,40,"H,,S",49.0,",,S",,,4.444444444444445,9.444444444444445,,Sanandaj
IR000407660,"KERMANSHAH, IR",2025-01-01,0.0,",,S",,,36,"H,,S",47.0,",,S",24.0,",,S",2.2222222222222223,8.333333333333334,-4.444444444444445,Sanandaj
IR000408560,"ZAHEDAN, IR",2025-01-01,0.01,",,S",,,45,"H,,S",,,39.0,",,S",7.222222222222222,,3.888888888888889,Sanandaj
IRM00040769,"ARAK, IR",2025-01-01,0.11,",,S",,,32,"H,,S",37.0,",,S",,,0.0,2.7777777777777777,,Sanandaj
IRM00040712,"UROMIYEH, IR",2025-01-01,0.0,",,S",,,32,"H,,S",,,,,0.0,,,Sanandaj
IRM00040827,"NEHBANDAN, IR",2025-01-01,0.19,",,S",,,44,"H,,S",49.0,",,S",,,6.666666666666667,9.444444444444445,,Sanandaj
IRM00040798,"SHAHRE KORD, IR",2025-01-01,0.02,",,S",,,29,"H,,S",38.0,",,S",19.0,",,S",-1.6666666666666667,3.3333333333333335,-7.222222222222222,Sanandaj
IRM00040875,"BANDAR ABBASS INTERNATIONAL, IR",2025-01-01,0.0,",,S",,,71,"H,,S",78.0,",,S",63.0,",,S",21.666666666666668,25.555555555555557,17.22222222222222,Sanandaj
IRM00040831,"ABADAN, IR",2025-01-01,0.0,",,S",,,54,"H,,S",68.0,",,S",,,12.222222222222221,20.0,,Sanandaj
IR000040841,"KERMAN, IR",2025-01-01,0.25,",,S",,,38,"H,,S",47.0,",,S",,,3.3333333333333335,8.333333333333334,,Sanandaj
IRM00040879,"IRAN SHAHR, IR",2025-01-01,0.0,",,S",,,67,"H,,S",75.0,",,S",57.0,",,S",19.444444444444443,23.88888888888889,13.88888888888889,Sanandaj
IRM00040800,"ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR",2025-01-01,0.6,",,S",,,36,"H,,S",48.0,",,S",,,2.2222222222222223,8.88888888888889,,Sanandaj
IRM00040723,"BOJNORD, IR",2025-01-01,0.0,",,S",,,36,"H,,S",43.0,",,S",,,2.2222222222222223,6.111111111111111,,Sanandaj
IR000040848,"SHIRAZ, IR",2025-01-01,0.27,",,S",,,46,"H,,S",55.0,",,S",,,7.777777777777778,12.777777777777779,,Sanandaj
IRM00040809,"BIRJAND, IR",2025-01-01,0.26,",,S",,,38,"H,,S",46.0,",,S",,,3.3333333333333335,7.777777777777778,,Sanandaj
IRM00040827,"NEHBANDAN, IR",2025-01-02,0.24,",,S",,,37,"H,,S",44.0,",,S",,,2.7777777777777777,6.666666666666667,,Sanandaj
IRM00040738,"GORGAN, IR",2025-01-02,0.0,",,S",,,42,"H,,S",56.0,",,S",29.0,",,S",5.555555555555555,13.333333333333334,-1.6666666666666667,Sanandaj
IRM00040875,"BANDAR ABBASS INTERNATIONAL, IR",2025-01-02,0.0,",,S",,,65,"H,,S",75.0,",,S",51.0,",,S",18.333333333333332,23.88888888888889,10.555555555555555,Sanandaj
IRM00040800,"ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR",2025-01-02,0.0,",,S",,,31,"H,,S",46.0,",,S",,,-0.5555555555555556,7.777777777777778,,Sanandaj
IR000040745,"MASHHAD, IR",2025-01-02,0.0,",,S",,,36,"H,,S",,,,,2.2222222222222223,,,Sanandaj
IRM00040769,"ARAK, IR",2025-01-02,0.0,",,S",1.6,",,S",28,"H,,S",36.0,",,S",,,-2.2222222222222223,2.2222222222222223,,Sanandaj
IR000040848,"SHIRAZ, IR",2025-01-02,0.0,",,S",,,39,"H,,S",47.0,",,S",,,3.888888888888889,8.333333333333334,,Sanandaj
