"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040747","SANANDAJ, IR","2025-01-01","0.00",",,S",,,"36","H,,S",,,"30",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-02","0.00",",,S",,,"35","H,,S",,,,
"IRM00040747","SANANDAJ, IR","2025-01-03","0.00",",,S",,,"31","H,,S","47",",,S","19",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-04","0.00",",,S",,,"32","H,,S",,,"18",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-05","0.00",",,S",,,"37","H,,S","54",",,S","24",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-06","0.00",",,S",,,"43","H,,S",,,"33",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-07","0.00",",,S",,,"40","H,,S",,,"29",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-08","0.00",",,S",,,"41","H,,S","45",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-09","0.00",",,S",,,"38","H,,S",,,"26",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-10","0.00",",,S",,,"37","H,,S","54",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-11","0.02",",,S",,,"38","H,,S","54",",,S","23",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-12","0.36",",,S",,,"37","H,,S","47",",,S","33",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-13","0.00",",,S",,,"37","H,,S","40",",,S","35",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-14","0.00",",,S",,,"35","H,,S","45",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-15","0.00",",,S",,,"36","H,,S","54",",,S","23",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-16","0.00",",,S",,,"33","H,,S","46",",,S","24",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-17","0.00",",,S",,,"32","H,,S","47",",,S","22",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-18","0.00",",,S",,,"35","H,,S","50",",,S","21",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-19","0.00",",,S",,,"38","H,,S","50",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-20","0.06",",,S",,,"34","H,,S","42",",,S","28",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-21","0.03",",,S","1.2",",,S","31","H,,S","41",",,S","21",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-22","0.00",",,S",,,"31","H,,S","45",",,S","17",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-23","0.00",",,S",,,"34","H,,S","47",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-24","0.00",",,S",,,"38","H,,S","52",",,S","26",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-25","0.00",",,S",,,"39","H,,S","48",",,S","34",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-26","0.00",",,S",,,"39","H,,S","50",",,S","30",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-27","0.01",",,S",,,"38","H,,S","42",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-28","0.00",",,S",,,"36","H,,S","43",",,S",,
"IRM00040747","SANANDAJ, IR","2025-01-29","0.00",",,S",,,"33","H,,S","46",",,S","21",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-30","0.00",",,S",,,"33","H,,S","48",",,S","20",",,S"
"IRM00040747","SANANDAJ, IR","2025-01-31","0.00",",,S",,,"35","H,,S","52",",,S","17",",,S"
"IRM00040747","SANANDAJ, IR","2025-02-01","0.00",",,S",,,"36","H,,S",,,,
"IRM00040747","SANANDAJ, IR","2025-02-02","0.00",",,S",,,"35","H,,S",,,,
